Stock,Strategy,Type,Total_Trades,Win_Rate,Total_Return,Sharpe_Ratio,Sortino_Ratio,Max_Drawdown,Profit_Factor
BAJAJ-AUTO,Combo_VolumePrice,Combined,46,43.47826086956522,24.08580013988608,0.49225304104305573,0.5428096696868129,-24.219475534994757,1.4678048600677471
BAJAJ-AUTO,Combo_Breakout,Combined,34,35.294117647058826,-2.5794417360210065,-0.040607721329345786,-0.0397884044937819,-10.873661869518838,0.9395954159125381
BAJAJ-AUTO,Combo_TrendFollow,Combined,16,25.0,-9.17675332588621,-0.31859176661820016,-0.17254479948712778,-16.634158269142397,0.5917528189251251
BAJAJ-AUTO,Combo_BestPerformers,Combined,2,50.0,1.7648983924616914,0.27398791898525415,0.055564501513392706,-2.6754746405562524,1.9324999967370384
BAJAJ-AUTO,Combo_Scalping,Combined,7,28.57142857142857,-3.2189804748720343,-0.2339614554644957,-0.09666316648253692,-10.762851127409839,0.6633598784980821
BAJAJFINSV,Individual_Fib3Wave,Individual,7,100.0,10.56881571093951,1.0543541150385207,44.81557887554603,-0.009365263579782278,inf
BAJAJFINSV,Individual_EMA2155,Individual,21,38.095238095238095,64.99594141946096,0.6209548041864662,0.9382573908639085,-28.29211383588028,3.777232599062151
BAJAJFINSV,Individual_MultiTF,Individual,71,26.76056338028169,-21.22928680500995,-0.11265317719031963,-0.12391215953794571,-51.87490818959235,0.7772058966257752
BAJAJFINSV,Combo_TrendMomentum,Combined,27,29.629629629629626,-13.117765264495784,-0.2460068105953596,-0.2008910176337296,-25.15122649419555,0.6438929441248991
BAJAJFINSV,Combo_VolumePrice,Combined,50,42.0,20.905022548367633,0.3598091121246305,0.3623463677793424,-27.936129873367875,1.2710389814707477
BAJAJFINSV,Combo_Breakout,Combined,30,16.666666666666664,-27.117085744685788,-1.005518805059765,-0.6665650552947938,-32.74521149268496,0.4177525839267513
BAJAJFINSV,Combo_TrendFollow,Combined,12,25.0,-6.743532249083277,-0.3106467485153196,-0.17023770336543975,-11.462323070970685,0.6178836679084115
BAJAJFINSV,Combo_Scalping,Combined,7,28.57142857142857,-2.582015643304767,-0.1440298252675118,-0.04871711936617523,-7.860306569811976,0.7497032816403381
BAJFINANCE,Individual_Fib3Wave,Individual,7,85.71428571428571,9.417497829333573,0.8751166234005486,0.24527172978525746,-1.240126694169257,8.221890314934681
BAJFINANCE,Individual_EMA2155,Individual,5,100.0,93.72877803933332,0.7343367291521583,1.093077409164399,-23.35353166374344,inf
BAJFINANCE,Individual_MultiTF,Individual,89,29.213483146067414,-15.850495130931217,-0.00218827345974141,-0.002402198553646406,-49.69272245902733,0.8753199833611833
BAJFINANCE,Combo_TrendMomentum,Combined,20,30.0,-5.647067314095853,-0.12763344062676696,-0.08752097350750201,-13.178018425742804,0.7984323158023928
BAJFINANCE,Combo_VolumePrice,Combined,41,24.390243902439025,-23.979726482157186,-0.45541691859092837,-0.35128016983107585,-31.294756899598724,0.5699213693818403
BAJFINANCE,Combo_Breakout,Combined,31,29.03225806451613,-13.382684601712608,-0.3160441213851156,-0.2224664472791362,-25.81473449324101,0.6995589063152722
BAJFINANCE,Combo_TrendFollow,Combined,9,11.11111111111111,-13.573348840604696,-0.5102174624188002,-0.20767366795864847,-15.249026545048952,0.10962476922492659
BAJFINANCE,Combo_BestPerformers,Combined,2,50.0,1.791717903053199,0.17688361546653916,0.05844813222746152,-3.726741835062165,1.885690403516641
BAJFINANCE,Combo_Scalping,Combined,10,20.0,-8.315482187102157,-0.43765815384144524,-0.19690194704516362,-16.439387126462723,0.4856999028592229
BHARTIARTL,Individual_Fib3Wave,Individual,12,91.66666666666666,16.96333862291223,1.3433651781987863,6.067972633767063,-0.1346394881951067,118.3450561091612
BHARTIARTL,Individual_EMA2155,Individual,5,0.0,-126.92465196898672,-0.4008272465076763,-0.3843421955466282,-133.31037895275807,0.0
BHARTIARTL,Individual_MultiTF,Individual,73,56.16438356164384,196.61737872744297,1.0243107694771192,1.1025052231606516,-18.26781719235259,3.1293135579349505
BHARTIARTL,Combo_TrendMomentum,Combined,43,39.53488372093023,10.549166930429463,0.224611478355428,0.2143752708674089,-22.30302867189061,1.202130514740563
BHARTIARTL,Combo_VolumePrice,Combined,49,46.93877551020408,39.26043975319981,0.5644474002611151,0.574547279086933,-18.563800331891567,1.6234971217627794
BHARTIARTL,Combo_Breakout,Combined,30,40.0,10.244225061313468,0.26927550125430866,0.2362584705419662,-15.943421046795613,1.2576469435792899
BHARTIARTL,Combo_TrendFollow,Combined,12,25.0,-5.260852854348676,-0.214594115573174,-0.14721579496254822,-14.536878804294473,0.6772281796390358
BHARTIARTL,Combo_BestPerformers,Combined,4,75.0,5.978049894173222,0.5049061835260554,0.25843908676417604,-3.0091425721373866,3.781554298641289
BHARTIARTL,Combo_Scalping,Combined,9,0.0,-16.911343706586905,-0.9580827305500595,-0.42077643730648046,-16.911343706586905,0.0
BPCL,Individual_Fib3Wave,Individual,13,92.3076923076923,47.366697085350985,1.1565771203792612,0.46525958907125203,-6.176441674503433,68.13087205525572
BPCL,Individual_EMA2155,Individual,31,41.935483870967744,17.171693976513968,0.2747175772207882,0.3431592132568368,-21.781926228533024,1.535462055269963
BPCL,Individual_MultiTF,Individual,68,25.0,-27.20483688964047,-0.14381186162381307,-0.14862153741220274,-42.93797142725222,0.6534750656462454
BPCL,Combo_TrendMomentum,Combined,36,38.88888888888889,9.358071689812451,0.2344622919941276,0.20240557429519443,-11.912127807177237,1.2000840757202667
BPCL,Combo_VolumePrice,Combined,50,28.000000000000004,-17.70823873835613,-0.2448151415951916,-0.2047513998943117,-27.10925278122382,0.7166374344557979
BPCL,Combo_Breakout,Combined,25,32.0,-2.9890343909400108,-0.02979764665924112,-0.02309169382122228,-14.46148602282572,0.9052140609980711
BPCL,Combo_TrendFollow,Combined,13,30.76923076923077,-2.4932379145050216,-0.059672384791757384,-0.03951946131115896,-11.08563580303498,0.862558695943577
BPCL,Combo_Scalping,Combined,6,66.66666666666666,11.89313407047515,0.801534306281246,0.27982606801895965,-3.6164659403102317,3.7072214103428065
BRITANNIA,Individual_Fib3Wave,Individual,9,100.0,10.930726765574116,1.1794764974632395,165.59194523573635,-0.009280079231479325,inf
BRITANNIA,Individual_EMA2155,Individual,19,42.10526315789473,7.1748537519971585,0.1990669954785165,0.2593016722731318,-15.429907669896547,1.385106445911567
BRITANNIA,Individual_MultiTF,Individual,81,27.160493827160494,-34.9263364216325,-0.3394574719313325,-0.3263703143773537,-48.49520294658366,0.5536796321279811
BRITANNIA,Combo_TrendMomentum,Combined,34,41.17647058823529,11.94300642127292,0.28349225597372263,0.25324436910383413,-13.532644278606195,1.296183213544491
BRITANNIA,Combo_VolumePrice,Combined,33,30.303030303030305,-7.472494191332298,-0.13750663005720948,-0.11739639368540544,-13.21344837581365,0.825644007900583
BRITANNIA,Combo_Breakout,Combined,22,36.36363636363637,2.7198436613400845,0.12504388404225614,0.09894687516706004,-8.58987057033592,1.1027110946552618
BRITANNIA,Combo_TrendFollow,Combined,13,38.46153846153847,2.114920132620289,0.12056328285915761,0.08170409359545862,-8.486089324791081,1.1360725821301032
BRITANNIA,Combo_BestPerformers,Combined,3,100.0,7.9732118221718125,0.5335526331764274,0.28612535090313,-2.5917236959928913,inf
BRITANNIA,Combo_Scalping,Combined,16,31.25,-3.606397845438012,-0.055590595018430534,-0.04144254387828904,-12.98671266815426,0.8252641958604565
