Stock,Strategy,Total_Trades,Win_Rate,Total_Return,Sharpe_Ratio,Sortino_Ratio,Max_Drawdown,Profit_Factor
AXISBANK,MA_Envelopes,37,51.35135135135135,-11.462790881334499,-0.5731600864429692,-0.14273080050843795,-12.494348877057446,0.454141948184472
AXISBANK,GMMA,34,47.05882352941176,37.36199650817015,0.7563953824894823,0.9678260288051056,-9.307803758995309,1.9147566658292503
AXISBANK,Momentum_Zero,45,35.55555555555556,1.8210117358412392,0.08361325690168875,0.07969099401621864,-20.40845479873223,1.0283724371685656
AXISBANK,Ascending_Triangle,15,33.33333333333333,-0.4005914012348658,0.015029614756349683,0.007142687265517568,-8.663503291725643,0.9797926341250781
BAJAJ-AUTO,ADX_DMI_OBV,6,16.666666666666664,-6.301205775441296,-0.32983386377480434,-0.16347514969853505,-11.490707192159629,0.34333081395390025
BAJAJ-AUTO,CCI_Divergence,14,42.857142857142854,5.5932515531502,0.28606322596719247,0.18301251596095802,-6.368311190057821,1.3610439291862384
BAJAJ-AUTO,StochRSI_MACD,11,63.63636363636363,18.349574657664547,0.7272544162333283,0.457958127873677,-6.774107156560392,3.4019837906856476
BAJAJ-AUTO,TDI,101,33.663366336633665,-8.578157504377552,-0.07142954087063798,-0.07623023661739058,-28.60517198684443,0.9304370118600178
BAJAJ-AUTO,MA_Envelopes,32,40.625,-16.330548237383873,-0.5986121082812741,-0.14454562773364316,-22.4674397874585,0.31988010532601074
BAJAJ-AUTO,GMMA,33,36.36363636363637,17.65270188396031,0.45553003186864144,0.5847674210628331,-12.512709680892756,1.4381120706278927
BAJAJ-AUTO,Momentum_Zero,45,33.33333333333333,-4.729151409998012,-0.08423025849691555,-0.07174978212114229,-18.31849906190615,0.9164934718839288
BAJAJ-AUTO,Ascending_Triangle,20,50.0,17.713788412516003,0.6593407192386802,0.509436434903198,-8.081508050778977,1.8547665863304246
BAJAJFINSV,ADX_DMI_OBV,7,42.857142857142854,3.3741142443503778,0.21861409757337938,0.11218566274812486,-7.2460764966717734,1.4166251552699194
BAJAJFINSV,CCI_Divergence,25,24.0,-14.754680217711561,-0.41723322850740774,-0.2672804898973329,-25.22782621368939,0.5592512527734179
BAJAJFINSV,StochRSI_MACD,15,26.666666666666668,-7.26924713927503,-0.2639034743846437,-0.14868102538276962,-18.12885792469574,0.6842079642274665
BAJAJFINSV,TDI,112,38.392857142857146,6.523000554055688,0.15619672717403119,0.19029084703649796,-35.029272239174325,1.0396004757732167
BAJAJFINSV,MA_Envelopes,45,62.22222222222222,9.364800197990466,0.4448988228672524,0.2085786647936113,-5.407202455116101,1.7805244576588186
BAJAJFINSV,GMMA,34,35.294117647058826,-7.780010862616589,-0.1904222148028958,-0.2108177400213546,-16.559600824560274,0.8776872571240316
BAJAJFINSV,Momentum_Zero,47,21.27659574468085,-33.529492331033225,-0.8831432619439255,-0.7715787209997711,-38.83358038748154,0.5021114189196476
BAJAJFINSV,Ascending_Triangle,14,42.857142857142854,6.392368077397201,0.25386265232004107,0.1942852472633014,-9.802878459064654,1.3599522778018562
BAJFINANCE,ADX_DMI_OBV,10,40.0,2.9449519485703934,0.1562185204030627,0.08463928930910189,-6.2992068445633,1.2350085105018092
BAJFINANCE,CCI_Divergence,23,30.434782608695656,-6.122015588182345,-0.17141961461414804,-0.09154355289128158,-16.826390784042648,0.8177590070956218
BAJFINANCE,StochRSI_MACD,13,38.46153846153847,2.655314555177305,0.13766600096935833,0.07126947005330606,-9.123006733978269,1.1597599941530525
BAJFINANCE,TDI,116,34.48275862068966,-12.458458053164213,-0.07749977146796971,-0.09014812036891272,-47.02262647146615,0.9260742118738663
