category,tercile,era,window,N,mean_car,median_car,std_car,t_stat,p_value,pct_positive,fdr_survivor
Monitoring Agency Report,t3,2025-2026,2d,139,-0.004018507726148027,-0.006117578956678971,0.03200779698465802,-1.4801864491368903,0.13882349573701588,41.726618705035975,False
Monitoring Agency Report,t3,2025-2026,5d,139,-0.0001301643735742708,0.00045882082418202685,0.05170562880750051,-0.02967985047633515,0.9763223818324386,50.35971223021583,False
News Verification,t1,2020-2022,20d,77,0.00502478520878679,-0.02929996793648626,0.1220186925414804,0.36135702114993196,0.7178325725168135,41.55844155844156,False
News Verification,t1,2020-2022,2d,77,0.001724673852958108,-0.0017997648060714688,0.03912207896020646,0.38683914663552144,0.6988752942524761,46.75324675324675,False
News Verification,t1,2020-2022,5d,77,0.010147505252842302,-0.009691629720558814,0.06970365655350429,1.277465223739243,0.20143805049060992,40.25974025974026,False
News Verification,t1,2023-2024,20d,44,-0.029489945518578177,-0.035931718208074004,0.07024971538780787,-2.784554608747108,0.0053601294335204105,29.545454545454547,True
News Verification,t1,2023-2024,2d,44,-0.010265673516418848,-0.0067000100459769785,0.03561392973548947,-1.9120264192761205,0.05587280549227149,38.63636363636363,True
News Verification,t1,2023-2024,5d,44,-0.003684491097446288,-0.010127772786265254,0.0699733274930414,-0.34927807355879636,0.7268805579123749,34.090909090909086,False
News Verification,t1,2025-2026,20d,29,-0.040313532398395906,-0.05763866314193411,0.1516391722687231,-1.4316552423433138,0.15224251147372878,27.586206896551722,False
News Verification,t1,2025-2026,2d,29,0.010035997172196762,0.008444484259930274,0.038347801055132406,1.4093506612938382,0.15873150548358883,62.06896551724138,False
News Verification,t1,2025-2026,5d,29,0.0037664284861525493,-0.005905863758709273,0.0764378331341582,0.26535077330905776,0.7907392544124189,31.03448275862069,False
News Verification,t2,2020-2022,20d,156,-0.027384283260947394,-0.03518900739715619,0.11901287689930731,-2.873887239897259,0.004054536924116838,34.61538461538461,True
News Verification,t2,2020-2022,2d,156,-0.0067994382203031495,-0.008949215879184291,0.029953794118596902,-2.835198633462182,0.004579720115060256,35.256410256410255,True
News Verification,t2,2020-2022,5d,156,-0.007356103069566269,-0.012973039278970644,0.055992884484543676,-1.6408816716036358,0.10082198035114212,39.1025641025641,False
News Verification,t2,2023-2024,20d,166,-0.012242922822436508,-0.029619081598144636,0.11359379402329084,-1.3886236277626751,0.16494722867864886,34.93975903614458,False
News Verification,t2,2023-2024,2d,166,-0.01414133489457311,-0.010681044577201815,0.03757107217020847,-4.849431873648658,1.2381558380886144e-06,34.93975903614458,True
News Verification,t2,2023-2024,5d,166,-0.003605608250375034,-0.015049005844828933,0.08271322055900213,-0.5616395100295806,0.5743616554277109,40.36144578313253,False
News Verification,t2,2025-2026,20d,161,-0.0033746389400543795,-0.016643146085610794,0.0976003820580425,-0.43872131398456915,0.6608634812631353,45.3416149068323,False
News Verification,t2,2025-2026,2d,161,-0.0031157319462806845,-0.005208567145372989,0.0267090238396284,-1.480181628239851,0.13882478194233688,39.130434782608695,False
News Verification,t2,2025-2026,5d,161,-0.0005509634766610415,-0.009081216435573358,0.04712245859116601,-0.1483569194940066,0.8820610970336921,43.47826086956522,False
News Verification,t3,2020-2022,20d,428,-0.01040926090772165,-0.027223786572662667,0.125355672180808,-1.7178996403138396,0.08581492245793103,40.42056074766355,False
News Verification,t3,2020-2022,2d,428,-0.00501298201807174,-0.0043640778442748385,0.041788699888630106,-2.481756519884729,0.013073657246415696,43.22429906542056,True
News Verification,t3,2020-2022,5d,428,-0.003019273028341829,-0.0064243847693956635,0.05263738353790087,-1.1866700415011768,0.23535779643843746,46.02803738317757,False
News Verification,t3,2023-2024,20d,332,-0.01783800549199309,-0.014221526867083278,0.1414443439162219,-2.2978927218959115,0.0215678956315948,44.57831325301205,True
News Verification,t3,2023-2024,2d,332,-0.011496556114546055,-0.007081843747241745,0.06001271102999631,-3.490547554771366,0.00048203181738298455,38.55421686746988,True
News Verification,t3,2023-2024,5d,332,0.0006801082174816898,-0.007770021642591773,0.08868846041260138,0.1397268756988544,0.8888757909725683,40.963855421686745,False
News Verification,t3,2025-2026,20d,351,-0.004730189816640644,-0.005315124776039681,0.10783105246248986,-0.8218419071975888,0.4111668792819946,47.008547008547005,False
News Verification,t3,2025-2026,2d,351,-0.003121152689999228,-0.0018731972889706183,0.02955387556957858,-1.9785823611375744,0.047863047213913115,48.148148148148145,True
News Verification,t3,2025-2026,5d,351,-0.006542427822700022,-0.005589898088219192,0.04444551187541067,-2.7578115494738094,0.005818973349722032,46.72364672364672,True
Newspaper Advertisements,t1,2020-2022,20d,1087,0.0017389643828740206,-0.016746979894984193,0.10691772310140442,0.5362357415076019,0.5917956346722291,41.95032198712052,False
Newspaper Advertisements,t1,2020-2022,2d,1087,-0.0031638619933050225,-0.006527434753794359,0.03473374232395228,-3.003175590476029,0.0026717822915152825,40.110395584176636,True
Newspaper Advertisements,t1,2020-2022,5d,1087,-0.003431031367229357,-0.008874821918727793,0.051512822812062195,-2.1959584141436403,0.02809492005815004,41.67433302667894,True
Newspaper Advertisements,t2,2020-2022,20d,681,-0.0126475463573708,-0.017335358916307664,0.08193830854307274,-4.02803134382892,5.624584651112029e-05,41.409691629955944,True
Newspaper Advertisements,t2,2020-2022,2d,681,-0.0030819982881749117,-0.005683467712532697,0.029955830875017797,-2.6848781413384417,0.0072556254895956886,40.23494860499266,True
Newspaper Advertisements,t2,2020-2022,5d,681,-0.007297358776473434,-0.008999765557310857,0.043383602036898006,-4.389485788908045,1.1361900269174479e-05,40.822320117474305,True
Newspaper Advertisements,t3,2020-2022,20d,567,-0.00748059278130539,-0.00957391849815703,0.07668974958322922,-2.3226845099395743,0.020196107014737362,43.03350970017637,True
Newspaper Advertisements,t3,2020-2022,2d,567,-0.0015699778839731989,-0.0027610036776299918,0.02692122619043206,-1.3886417780281854,0.1649417066602531,43.386243386243386,False
